nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
15.0,93.1,8190.0,236.0,214.0,-0.125,-0.0875,-0.0933,0.828,0.894,0.644,0.0,0.0,0.0,9.13,9.13,0.284,0.267,3.61,1.84,-4.06,43.2,5.32,21.5,0.0,6.55,13.2,0.305,1.7,3.75,0
15.0,119.0,9350.0,224.0,207.0,-0.0861,0.00705,0.000335,0.8220000000000001,0.993,0.642,1.0,0.0594,0.0594,9.0,9.0,0.324,0.306,3.47,1.53,-1.86,31.0,4.9,11.1,3.25,6.05,9.69,0.578,1.41,1.58,0
16.0,128.0,9690.0,217.0,206.0,-0.0137,0.115,0.133,1.04,0.995,0.64,2.0,0.319,0.365,0.0,0.0,0.32,0.304,3.49,1.74,-3.5,31.0,10.8,11.1,3.51,7.35,9.91,0.52,1.47,2.73,0
8.0,44.1,5990.0,226.0,220.0,-0.268,-0.0716,-0.122,0.6990000000000001,0.953,0.669,0.0,0.0,0.0,0.0,0.0,0.48700000000000004,0.456,2.29,0.887,-0.445,0.0,0.0,6.92,0.0,0.0,0.0,1.21,0.7,-1.42,0
9.0,46.6,5720.0,238.0,228.0,-0.27399999999999997,-0.0792,-0.13,0.657,0.9440000000000001,0.6629999999999999,0.0,0.0,0.0,0.0,0.0,0.418,0.389,2.63,1.08,-1.44,12.1,7.11,10.4,0.0,3.97,5.55,0.772,1.16,0.121,0
9.0,31.6,5130.0,191.0,159.0,-0.159,-0.21100000000000002,-0.223,0.745,1.07,0.608,1.0,-0.616,-0.616,8.39,8.23,0.397,0.385,2.65,1.25,0.534,0.0,0.0,13.3,-0.616,0.0,2.56,0.8690000000000001,0.9790000000000001,-0.95,0
18.0,110.0,9330.0,210.0,174.0,0.0538,0.0389,0.0288,1.13,1.02,0.611,2.0,2.06,1.07,0.0,0.0,0.244,0.23199999999999998,3.88,2.19,-4.48,37.7,13.6,23.6,2.93,15.8,13.1,0.22899999999999998,1.8,2.82,0
9.0,21.7,4740.0,172.0,144.0,-0.196,-0.18600000000000005,-0.205,0.8490000000000001,1.17,0.5820000000000001,1.0,-0.273,-0.273,8.18,8.18,0.40399999999999997,0.397,2.53,1.13,0.596,0.0,6.61,6.92,0.0,0.0,1.89,0.87,0.9620000000000001,-1.04,0
12.0,44.9,6540.0,175.0,210.0,-0.17800000000000002,-0.23199999999999998,-0.28,1.07,1.25,0.593,1.0,0.0649,0.0649,0.0,0.0,0.431,0.425,2.61,1.75,-1.06,11.4,27.0,0.0,0.0,0.0,1.0,1.1,0.758,0.867,0
53.0,253.0,26200.0,163.0,129.0,0.0155,0.0297,0.0222,0.785,1.39,0.542,17.0,18.4,1.33,0.0,0.0,0.198,0.196,5.18,4.29,-7.97,31.6,0.0,137.0,18.5,25.7,21.1,0.322,1.64,6.88,0
