nAtom,nH,nC,ATS5d,ATS2se,ATS3se,ATS4se,ATS5se,ATS6se,ATS2pe,ATS4pe,ATS5pe,ATS6pe,ATS2are,ATS6are,ATS2p,ATS3p,ATS4p,ATS5p,ATS6p,ATS7p,ATS0i,ATS1i,ATS2i,ATS3i,ATS4i,ATS5i,ATS6i,ATS7i,ATS8i,AATS0dv,AATS1dv,AATS2dv,AATS3dv,AATS4dv,AATS0s,AATS1s,AATS2s,AATS4s,AATS3Z,AATS1v,AATS2v,AATS3v,AATS4se,AATS0pe,AATS4pe,AATS4are,ATSC0v,ATSC1pe,ATSC1are,ATSC0i,ATSC1i,MATS1s,MATS1se,MATS1pe,MATS1are,MATS1p,GATS2dv,GATS1v,GATS1p,nBonds,nBondsS,nBondsKS,C2SP3,HybRatio,FCSP3,Xch-6dv,Si,Mv,Mse,Mpe,NssCH2,NdsCH,NsOH,SssCH2,SsOH,MAXssCH2,MAXsOH,MINsOH,SIC0,SIC1,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState3,VSA_EState7,VSA_EState8,MDEC-12,MDEC-22,MDEC-23,AMID_h,MID_C,AMID_C,bpol,SLogP,JGI5,score
44.0,23.0,20.0,336.0,593.0,782.0,913.0,967.0,931.0,482.0,730.0,769.0,730.0,471.0,718.0,135.0,171.0,187.0,183.0,152.0,113.0,7000.0,6560.0,12100.0,16200.0,19300.0,20700.0,20800.0,17500.0,14000.0,4.64,5.22,4.21,3.39,2.4,2.21,2.6,2.27,2.13,15.8,264.0,226.0,209.0,7.19,5.7,5.75,5.62,2420.0,0.0559,0.0344,62.5,2.53,-0.132,0.0070599999999999994,0.0304,0.0222,0.0477,1.06,0.987,0.997,46.0,33.0,39.0,1.0,0.3,0.3,0.0712,49.1,0.613,0.9740000000000001,0.9329999999999999,2.0,1.0,0.0,2.06,0.0,1.05,0.0,0.0,0.207,0.545,0.19699999999999998,4.33,2.49,-6.29,47.8,13.6,42.5,3.23,3.43,5.67,6.74,15.2,19.6,0.0886,41.1,1.96,23.6,4.37,0.0248,0
33.0,15.0,15.0,188.0,416.0,515.0,595.0,605.0,451.0,342.0,482.0,479.0,361.0,335.0,354.0,91.9,105.0,102.0,93.1,82.8,74.1,5260.0,4910.0,8190.0,10300.0,12300.0,13300.0,9490.0,8780.0,8920.0,7.21,7.09,5.96,4.59,3.55,4.82,3.4,3.53,3.26,18.8,272.0,236.0,214.0,7.63,6.15,6.18,6.09,1700.0,-0.306,-0.342,47.6,3.25,-0.125,-0.0908,-0.0875,-0.0933,0.0825,0.828,0.894,0.932,34.0,21.0,27.0,0.0,0.133,0.133,0.0518,36.8,0.644,0.9990000000000001,0.965,0.0,0.0,1.0,0.0,9.13,0.0,9.13,9.13,0.284,0.635,0.267,3.61,1.84,-4.06,43.2,5.32,21.5,12.3,0.0,4.05,2.98,6.55,13.2,0.305,30.5,1.7,16.5,3.75,0.0278,0
35.0,15.0,14.0,240.0,466.0,554.0,640.0,714.0,812.0,387.0,523.0,583.0,651.0,382.0,648.0,89.7,102.0,111.0,119.0,109.0,81.2,5740.0,5380.0,9350.0,11000.0,13200.0,14400.0,17400.0,12100.0,9150.0,8.91,8.31,7.07,5.87,4.88,6.12,3.69,3.87,3.21,20.8,262.0,224.0,207.0,7.8,6.48,6.38,6.3,1660.0,0.0355,0.0018399999999999998,53.7,-9.37,-0.0861,-0.0275,0.00705,0.000335,-0.0708,0.8220000000000001,0.993,1.14,36.0,23.0,29.0,0.0,0.214,0.214,0.0513,39.6,0.642,1.02,0.988,1.0,0.0,1.0,0.0594,9.0,0.0594,9.0,9.0,0.324,0.7020000000000001,0.306,3.47,1.53,-1.86,31.0,4.9,11.1,13.0,3.25,3.74,3.24,6.05,9.69,0.578,28.1,1.41,20.2,1.58,0.0328,0
35.0,16.0,14.0,236.0,474.0,547.0,630.0,718.0,798.0,390.0,513.0,581.0,634.0,382.0,624.0,94.5,104.0,116.0,128.0,123.0,95.9,5720.0,5340.0,9690.0,11100.0,13100.0,14900.0,17400.0,13200.0,7550.0,6.85,6.9,5.31,4.09,3.81,3.75,3.05,2.8,2.71,21.2,262.0,217.0,206.0,7.68,6.23,6.25,6.14,1800.0,0.43,0.47100000000000003,52.9,-11.1,-0.0137,0.07,0.115,0.133,-0.0985,1.04,0.995,1.03,36.0,24.0,30.0,0.0,0.28600000000000003,0.28600000000000003,0.0513,39.6,0.64,1.01,0.971,2.0,0.0,0.0,0.319,0.0,0.365,0.0,0.0,0.32,0.662,0.304,3.49,1.74,-3.5,31.0,10.8,11.1,4.14,3.51,4.34,3.63,7.35,9.91,0.52,28.0,1.47,20.8,2.73,0.0247,0
22.0,8.0,5.0,81.0,310.0,312.0,266.0,249.0,278.0,257.0,220.0,206.0,224.0,255.0,224.0,59.8,55.9,52.8,44.1,34.6,21.4,3730.0,3410.0,5990.0,5900.0,4990.0,4720.0,5660.0,4540.0,2380.0,11.0,7.09,8.13,5.61,7.05,9.54,3.27,6.4,4.22,38.6,275.0,226.0,220.0,8.57,7.14,7.09,6.98,1010.0,-0.298,-0.57,42.4,-8.2,-0.268,-0.0186,-0.0716,-0.122,-0.0677,0.6990000000000001,0.953,1.25,22.0,13.0,17.0,0.0,0.4,0.4,0.16399999999999998,25.3,0.669,1.06,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48700000000000004,0.8009999999999999,0.456,2.29,0.887,-0.445,0.0,0.0,6.92,8.46,0.0,1.26,0.0,0.0,0.0,1.21,9.8,0.7,20.3,-1.42,0.0251,0
23.0,9.0,8.0,81.0,311.0,343.0,375.0,369.0,262.0,257.0,308.0,303.0,206.0,254.0,205.0,61.2,68.0,60.5,46.6,32.4,15.6,3740.0,3360.0,5720.0,6400.0,6940.0,7000.0,5520.0,4100.0,1660.0,10.4,6.51,8.61,6.25,5.7,9.25,3.35,6.47,5.32,27.5,281.0,238.0,228.0,8.52,6.9,7.01,6.93,1100.0,-0.354,-0.65,36.1,-0.7440000000000001,-0.27399999999999997,0.00942,-0.0792,-0.13,-0.106,0.657,0.9440000000000001,1.42,23.0,14.0,17.0,0.0,0.125,0.125,0.0278,25.9,0.6629999999999999,1.05,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.762,0.389,2.63,1.08,-1.44,12.1,7.11,10.4,4.91,0.0,0.0,0.8079999999999999,3.97,5.55,0.772,16.2,1.16,17.7,0.121,0.0362,0
21.0,9.0,6.0,59.0,265.0,352.0,338.0,309.0,234.0,220.0,275.0,254.0,186.0,218.0,188.0,39.7,42.9,40.0,31.6,18.5,6.64,3560.0,3090.0,5130.0,6980.0,6720.0,5920.0,4770.0,2190.0,555.0,11.2,8.5,6.41,4.29,5.85,11.9,4.87,6.22,5.3,17.7,239.0,191.0,159.0,8.44,7.19,6.87,6.86,857.0,-1.04,-1.22,25.6,-3.64,-0.159,-0.226,-0.21100000000000002,-0.223,-0.009729999999999999,0.745,1.07,1.37,20.0,17.0,17.0,2.0,0.5,0.5,0.0,24.2,0.608,1.06,1.03,1.0,0.0,2.0,-0.616,16.6,-0.616,8.39,8.23,0.397,0.715,0.385,2.65,1.25,0.534,0.0,0.0,13.3,18.6,-0.616,1.12,0.25,0.0,2.56,0.8690000000000001,11.7,0.9790000000000001,12.2,-0.95,0.0185,0
35.0,18.0,15.0,206.0,453.0,582.0,596.0,620.0,626.0,369.0,475.0,494.0,496.0,362.0,489.0,95.4,108.0,108.0,110.0,104.0,81.3,5650.0,5230.0,9330.0,12600.0,13000.0,13500.0,13900.0,12300.0,9190.0,4.91,5.0,3.64,2.7,2.45,2.43,2.79,2.43,2.1,13.5,257.0,210.0,174.0,7.27,5.8,5.79,5.69,1860.0,0.075,0.0519,52.3,-4.06,0.0538,0.007909999999999999,0.0389,0.0288,-0.0077,1.13,1.02,1.07,36.0,24.0,30.0,1.0,0.267,0.267,0.0569,39.3,0.611,0.98,0.94,2.0,0.0,0.0,2.06,0.0,1.07,0.0,0.0,0.244,0.574,0.23199999999999998,3.88,2.19,-4.48,37.7,13.6,23.6,3.21,2.93,0.996,1.94,15.8,13.1,0.22899999999999998,30.6,1.8,19.8,2.82,0.00884,0
19.0,9.0,5.0,43.0,241.0,292.0,266.0,187.0,153.0,198.0,214.0,148.0,125.0,197.0,125.0,32.4,32.2,27.2,21.7,15.3,7.52,3250.0,2810.0,4740.0,5830.0,5360.0,4090.0,3110.0,2560.0,555.0,9.89,7.5,5.62,3.62,3.71,9.73,4.54,5.46,5.18,17.2,225.0,172.0,144.0,8.58,6.98,6.91,6.94,782.0,-0.787,-0.961,22.2,-2.34,-0.196,-0.21600000000000005,-0.18600000000000005,-0.205,-0.136,0.8490000000000001,1.17,1.55,18.0,16.0,16.0,1.0,0.6,0.6,0.0,22.0,0.5820000000000001,1.05,1.02,1.0,0.0,1.0,-0.273,8.18,-0.273,8.18,8.18,0.40399999999999997,0.733,0.397,2.53,1.13,0.596,0.0,6.61,6.92,8.18,0.0,0.9159999999999999,0.33299999999999996,0.0,1.89,0.87,9.62,0.9620000000000001,11.9,-1.04,0.037000000000000005,0
24.0,12.0,5.0,63.0,332.0,277.0,380.0,281.0,299.0,267.0,303.0,226.0,232.0,265.0,230.0,57.0,63.0,55.4,44.9,35.3,20.2,4020.0,3450.0,6540.0,5260.0,7260.0,5650.0,6880.0,4520.0,2950.0,7.66,3.29,4.43,2.3,1.89,6.6,2.89,3.97,3.74,33.1,239.0,175.0,210.0,8.63,6.61,6.89,6.84,1210.0,-1.11,-1.5,36.3,-12.9,-0.17800000000000002,-0.273,-0.23199999999999998,-0.28,-0.0102,1.07,1.25,1.45,23.0,21.0,21.0,0.0,0.8,0.8,0.0,27.5,0.593,1.03,0.992,1.0,0.0,0.0,0.0649,0.0,0.0649,0.0,0.0,0.431,0.618,0.425,2.61,1.75,-1.06,11.4,27.0,0.0,2.39,0.0,-3.09,0.825,0.0,1.0,1.1,9.1,0.758,25.7,0.867,0.0309,0
88.0,53.0,29.0,524.0,1250.0,1750.0,1840.0,1810.0,1850.0,997.0,1440.0,1430.0,1460.0,981.0,1440.0,214.0,252.0,254.0,253.0,260.0,267.0,14600.0,12900.0,26200.0,39100.0,41100.0,39500.0,40200.0,40900.0,42000.0,4.02,3.47,2.24,1.54,1.67,3.45,2.4,2.23,2.14,10.2,225.0,163.0,129.0,7.39,5.84,5.78,5.72,4310.0,0.255,0.198,109.0,-10.1,0.0155,0.00527,0.0297,0.0222,-0.0694,0.785,1.39,1.51,88.0,85.0,85.0,20.0,0.897,0.897,0.135,100.0,0.542,0.987,0.9390000000000001,17.0,1.0,0.0,18.4,0.0,1.33,0.0,0.0,0.198,0.336,0.196,5.18,4.29,-7.97,31.6,0.0,137.0,2.62,18.5,8.45,8.1,25.7,21.1,0.322,57.4,1.64,59.8,6.88,0.0188,0
45.0,22.0,12.0,252.0,709.0,1070.0,1120.0,984.0,787.0,588.0,903.0,784.0,627.0,584.0,627.0,104.0,125.0,119.0,100.0,86.8,82.4,7630.0,7040.0,13100.0,20600.0,22500.0,20400.0,16500.0,14000.0,14200.0,9.07,6.72,6.24,5.73,3.59,8.21,3.91,3.93,4.62,20.2,233.0,201.0,158.0,8.43,6.99,6.79,6.8,1870.0,-2.94,-3.47,48.4,2.46,-0.29100000000000004,-0.29100000000000004,-0.255,-0.27,0.0895,1.05,1.1,1.44,46.0,46.0,46.0,8.0,1.0,1.0,0.134,51.9,0.574,1.05,1.02,3.0,0.0,8.0,-2.05,76.1,-0.469,9.78,8.98,0.275,0.47200000000000003,0.273,3.98,2.9,3.68,0.0,19.8,0.0,76.1,-12.0,-2.05,0.0,0.531,6.58,0.8740000000000001,25.2,1.09,27.3,-5.4,0.0246,0
38.0,20.0,14.0,179.0,523.0,677.0,668.0,574.0,563.0,427.0,528.0,454.0,447.0,420.0,443.0,96.0,103.0,96.0,85.4,78.3,67.4,6270.0,5820.0,10600.0,14400.0,14700.0,12500.0,12100.0,12100.0,8030.0,5.63,5.44,4.12,3.09,2.46,3.29,2.92,2.7,2.32,14.0,243.0,197.0,156.0,7.51,6.05,5.94,5.88,1900.0,-0.225,-0.314,53.3,-4.04,-0.174,-0.0938,-0.0542,-0.0723,-0.00526,1.05,1.08,1.18,39.0,29.0,35.0,2.0,0.429,0.429,0.0689,43.2,0.589,0.996,0.956,2.0,0.0,1.0,0.838,9.79,0.542,9.79,9.79,0.27899999999999997,0.6659999999999999,0.27,3.78,1.75,-3.43,18.2,13.2,13.8,14.0,1.38,4.94,1.95,6.38,11.6,0.4320000000000001,28.3,1.57,22.9,1.91,0.0211,0
45.0,20.0,19.0,242.0,625.0,783.0,753.0,721.0,597.0,512.0,606.0,571.0,479.0,501.0,472.0,136.0,143.0,131.0,122.0,103.0,88.1,7190.0,6760.0,12200.0,15900.0,15700.0,15600.0,12400.0,10600.0,10800.0,7.43,6.7,4.82,3.44,3.09,4.56,3.06,2.89,3.06,18.0,276.0,229.0,187.0,7.61,6.24,6.12,6.04,2340.0,0.0157,-0.0543,69.6,-3.76,-0.0144,-0.031,0.00297,-0.00968,0.0289,0.95,0.929,0.943,47.0,33.0,39.0,4.0,0.316,0.316,0.184,50.3,0.65,1.01,0.971,4.0,0.0,0.0,2.85,0.0,0.991,0.0,0.0,0.29600000000000004,0.648,0.281,3.86,1.93,-5.72,42.2,6.61,23.7,1.7,4.19,2.67,1.91,13.3,17.3,0.46399999999999997,39.3,1.57,27.7,3.16,0.0253,0
40.0,21.0,16.0,199.0,540.0,715.0,714.0,625.0,611.0,440.0,564.0,495.0,485.0,432.0,479.0,104.0,117.0,108.0,97.4,88.3,76.2,6490.0,5980.0,10900.0,15100.0,15600.0,13400.0,13100.0,12900.0,8810.0,5.4,5.22,3.93,3.17,2.41,3.2,2.87,2.65,2.28,14.3,250.0,203.0,165.0,7.44,5.96,5.88,5.81,2070.0,-0.11599999999999999,-0.16899999999999998,55.2,-0.871,-0.17,-0.0598,-0.0303,-0.0428,0.0108,1.08,1.06,1.14,41.0,30.0,36.0,2.0,0.375,0.375,0.0518,45.1,0.597,0.991,0.95,2.0,0.0,1.0,0.843,9.84,0.544,9.84,9.84,0.257,0.594,0.247,3.96,2.16,-3.91,11.5,13.2,13.8,15.3,-0.499,4.95,2.31,11.0,14.1,0.302,32.5,1.71,23.4,2.58,0.0183,0
27.0,11.0,10.0,111.0,359.0,419.0,401.0,303.0,270.0,300.0,324.0,245.0,222.0,297.0,219.0,66.1,68.7,56.0,47.7,46.8,44.8,4540.0,4340.0,7340.0,8650.0,8840.0,6540.0,5430.0,6190.0,4970.0,9.26,8.79,6.93,5.73,3.98,4.88,3.71,3.57,3.2,20.1,258.0,217.0,190.0,7.86,6.53,6.36,6.33,1210.0,0.374,0.39799999999999996,46.1,-5.92,-0.0222,0.0798,0.10800000000000001,0.106,-0.11800000000000001,0.963,0.978,1.14,28.0,19.0,22.0,0.0,0.2,0.2,0.0425,30.9,0.648,1.02,0.993,1.0,1.0,0.0,0.405,0.0,0.405,0.0,0.0,0.354,0.772,0.331,3.07,1.08,-2.05,13.0,6.54,12.5,9.18,4.94,2.23,1.05,5.48,5.63,0.75,20.3,1.27,15.3,0.8170000000000001,0.0224,0
69.0,36.0,27.0,515.0,968.0,1310.0,1420.0,1470.0,1600.0,788.0,1140.0,1180.0,1280.0,774.0,1260.0,187.0,225.0,236.0,251.0,266.0,258.0,11200.0,10300.0,19700.0,27800.0,30500.0,30900.0,34100.0,37500.0,35100.0,5.83,5.52,4.18,3.3,3.17,3.96,2.84,2.79,2.67,14.5,250.0,201.0,171.0,7.48,6.02,5.98,5.9,3520.0,-0.0188,-0.106,95.1,-8.47,-0.0439,-0.0332,-0.00257,-0.0139,-0.0142,0.867,1.11,1.2,71.0,57.0,63.0,6.0,0.48100000000000004,0.48100000000000004,0.131,77.9,0.596,0.995,0.9540000000000001,8.0,0.0,1.0,7.15,9.36,1.27,9.36,9.36,0.23,0.5579999999999999,0.223,4.7,2.7,-6.04,67.9,24.6,74.0,12.6,4.68,8.61,6.2,20.5,28.0,0.34700000000000003,55.1,1.67,41.9,5.22,0.027999999999999997,0
51.0,21.0,22.0,389.0,729.0,965.0,985.0,916.0,943.0,603.0,802.0,750.0,774.0,587.0,755.0,164.0,189.0,184.0,180.0,194.0,199.0,8210.0,7920.0,14400.0,19800.0,20600.0,18600.0,18800.0,20800.0,20900.0,7.0,7.36,5.97,4.75,4.55,3.27,2.84,2.68,2.7,22.7,285.0,243.0,205.0,7.82,6.34,6.36,6.22,2670.0,0.496,0.642,76.8,3.38,0.00336,0.0603,0.0884,0.13699999999999998,0.00275,0.812,0.8320000000000001,0.794,54.0,36.0,45.0,3.0,0.273,0.273,0.193,57.2,0.6809999999999999,1.01,0.9790000000000001,5.0,0.0,0.0,5.03,0.0,1.19,0.0,0.0,0.298,0.635,0.28300000000000003,3.98,2.07,-7.21,50.1,13.1,35.3,8.22,3.34,3.58,2.13,12.4,23.3,0.523,45.6,1.52,26.3,5.94,0.0315,0
24.0,10.0,7.0,83.0,304.0,384.0,408.0,318.0,202.0,254.0,330.0,255.0,166.0,250.0,165.0,63.9,70.2,59.3,41.0,30.8,22.1,4060.0,3760.0,5780.0,7610.0,8390.0,6630.0,4210.0,4640.0,2670.0,8.6,5.64,7.53,4.7,4.93,8.15,3.52,5.95,5.89,25.8,267.0,239.0,200.0,8.17,6.72,6.6,6.56,1120.0,-1.0,-1.37,41.8,4.8,-0.40299999999999997,-0.11699999999999999,-0.266,-0.332,0.0576,0.7509999999999999,0.809,1.27,24.0,15.0,18.0,0.0,0.0,0.0,0.0278,27.6,0.64,1.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.713,0.401,2.62,1.32,-1.15,24.3,5.73,0.0,2.75,0.0,0.0,0.0,3.3,5.78,0.863,14.3,0.955,16.1,-0.5589999999999999,0.0379,0
28.0,9.0,13.0,119.0,360.0,470.0,415.0,346.0,296.0,302.0,337.0,283.0,243.0,291.0,235.0,91.3,101.0,75.6,58.5,57.5,57.1,4420.0,4230.0,6670.0,9170.0,8410.0,6920.0,5770.0,4870.0,4830.0,8.17,8.15,6.63,4.59,4.46,4.31,3.29,3.46,3.15,31.8,311.0,283.0,231.0,7.98,6.73,6.48,6.27,1370.0,-0.381,-0.377,41.0,0.47600000000000003,-0.0835,-0.102,-0.106,-0.131,0.0584,0.973,0.654,0.596,29.0,16.0,22.0,0.0,0.0,0.0,0.0518,31.1,0.748,1.03,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.593,0.354,2.98,1.96,-5.74,42.5,10.6,0.0,6.74,0.0,0.0,0.0,5.44,12.8,0.584,26.9,1.41,12.6,5.29,0.027000000000000003,0
51.0,23.0,19.0,323.0,693.0,845.0,981.0,965.0,967.0,571.0,797.0,782.0,783.0,564.0,777.0,126.0,148.0,153.0,151.0,144.0,128.0,8410.0,7810.0,13700.0,16900.0,20100.0,19800.0,20000.0,20400.0,16500.0,8.86,7.56,6.36,5.4,4.23,6.32,3.62,3.88,3.58,19.9,254.0,213.0,200.0,7.91,6.54,6.42,6.36,2400.0,0.355,0.396,72.7,-2.14,-0.0799,0.0325,0.0421,0.043,-0.0172,0.853,1.03,1.17,52.0,38.0,44.0,1.0,0.316,0.316,0.0481,57.9,0.623,1.02,0.99,2.0,0.0,1.0,0.0422,9.22,0.191,9.22,9.22,0.29100000000000004,0.667,0.28,4.02,1.89,-4.92,30.7,26.1,22.8,26.0,0.0,1.77,3.77,6.26,17.8,0.599,38.8,1.39,29.7,2.33,0.0336,0
52.0,26.0,21.0,479.0,818.0,1180.0,1410.0,1390.0,1230.0,671.0,1130.0,1100.0,977.0,659.0,967.0,169.0,216.0,227.0,207.0,182.0,155.0,8450.0,8150.0,16300.0,24500.0,29800.0,30200.0,26900.0,23300.0,18900.0,6.23,5.93,4.63,3.22,2.65,3.65,2.69,2.5,2.54,15.8,261.0,221.0,186.0,7.56,6.08,6.05,5.98,2650.0,-0.0471,-0.15,73.8,-4.13,-0.0308,-0.0484,-0.00799,-0.0243,0.0353,0.9740000000000001,1.0,1.1,56.0,45.0,51.0,6.0,0.5710000000000001,0.5710000000000001,0.235,58.6,0.61,0.997,0.9590000000000001,6.0,0.0,1.0,5.8,10.5,1.08,10.5,10.5,0.254,0.625,0.244,4.25,2.14,-3.37,49.1,20.2,36.6,11.8,3.14,2.1,1.29,11.3,27.1,0.377,44.9,1.73,31.0,2.65,0.0237,0
