nAtom,nH,nC,ATS5d,ATS2se,ATS3se,ATS4se,ATS5se,ATS6se,ATS2pe,ATS4pe,ATS5pe,ATS6pe,ATS2are,ATS6are,ATS2p,ATS3p,ATS4p,ATS5p,ATS6p,ATS7p,ATS0i,ATS1i,ATS2i,ATS3i,ATS4i,ATS5i,ATS6i,ATS7i,ATS8i,AATS0dv,AATS1dv,AATS2dv,AATS3dv,AATS4dv,AATS0s,AATS1s,AATS2s,AATS4s,AATS3Z,AATS1v,AATS2v,AATS3v,AATS4se,AATS0pe,AATS4pe,AATS4are,ATSC0v,ATSC1pe,ATSC1are,ATSC0i,ATSC1i,MATS1s,MATS1se,MATS1pe,MATS1are,MATS1p,GATS2dv,GATS1v,GATS1p,nBonds,nBondsS,nBondsKS,C2SP3,HybRatio,FCSP3,Xch-6dv,Si,Mv,Mse,Mpe,NssCH2,NdsCH,NsOH,SssCH2,SsOH,MAXssCH2,MAXsOH,MINsOH,SIC0,SIC1,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState3,VSA_EState7,VSA_EState8,MDEC-12,MDEC-22,MDEC-23,AMID_h,MID_C,AMID_C,bpol,SLogP,JGI5,score
30.0,11.0,14.0,172.0,384.0,508.0,496.0,463.0,440.0,319.0,403.0,376.0,358.0,309.0,347.0,93.7,106.0,101.0,91.1,90.9,77.7,4730.0,4460.0,7160.0,9940.0,9960.0,9280.0,8510.0,8010.0,6070.0,8.04,7.72,6.28,4.47,4.29,5.09,3.44,3.69,2.82,26.3,300.0,269.0,224.0,7.87,6.57,6.4,6.17,1520.0,-0.46,-0.466,41.9,3.68,-0.106,-0.10400000000000001,-0.114,-0.128,0.091,0.935,0.718,0.6679999999999999,31.0,18.0,24.0,1.0,0.0714,0.0714,0.0518,33.3,0.7120000000000001,1.02,0.995,1.0,0.0,1.0,-0.0642,8.89,-0.0642,8.89,8.89,0.35200000000000004,0.679,0.32899999999999996,3.18,1.58,-4.91,23.8,5.32,5.56,12.9,-0.0642,0.0,0.0,8.02,15.1,0.474,29.0,1.53,13.5,4.36,0.024,0
39.0,22.0,15.0,250.0,533.0,743.0,867.0,877.0,823.0,429.0,682.0,687.0,636.0,418.0,625.0,114.0,139.0,143.0,137.0,123.0,88.8,6350.0,5800.0,11100.0,16000.0,19400.0,19900.0,19000.0,14900.0,8870.0,3.32,3.7,2.56,1.82,1.26,2.14,2.32,1.95,1.93,14.0,251.0,202.0,169.0,7.23,5.72,5.68,5.58,2130.0,-0.149,-0.154,52.3,7.93,-0.228,-0.0725,-0.0661,-0.095,0.0785,1.22,1.05,0.985,40.0,34.0,37.0,5.0,0.6,0.6,0.312,44.0,0.585,0.9790000000000001,0.934,4.0,0.0,0.0,4.85,0.0,1.3,0.0,0.0,0.24,0.5539999999999999,0.23399999999999999,4.02,2.36,-4.43,42.9,0.0,45.1,0.8059999999999999,4.85,4.49,3.08,9.67,11.8,0.207,30.1,1.77,22.0,4.14,0.0344,0
39.0,19.0,12.0,262.0,555.0,638.0,758.0,813.0,1030.0,451.0,614.0,658.0,813.0,445.0,801.0,104.0,114.0,135.0,155.0,158.0,105.0,6390.0,5680.0,10900.0,12500.0,15300.0,16000.0,21600.0,20100.0,10500.0,7.41,4.7,5.2,3.68,4.15,6.57,2.68,4.44,4.15,22.3,256.0,203.0,196.0,7.9,6.45,6.39,6.31,2010.0,-0.11,-0.461,58.7,-12.2,-0.222,0.0443,-0.017,-0.0655,-0.0838,0.87,1.12,1.33,39.0,31.0,34.0,1.0,0.583,0.583,0.21600000000000005,44.1,0.612,1.02,0.983,2.0,0.0,1.0,-0.665,8.88,0.27,8.88,8.88,0.33399999999999996,0.643,0.32299999999999995,3.52,1.88,-2.28,31.7,24.4,17.4,1.9,0.0,5.75,3.07,0.6459999999999999,5.86,0.747,23.5,1.18,32.5,1.62,0.0326,0
20.0,5.0,7.0,71.0,268.0,321.0,281.0,232.0,184.0,228.0,235.0,195.0,155.0,224.0,152.0,51.8,54.6,49.4,33.9,26.6,19.6,3430.0,3110.0,4820.0,5680.0,5280.0,4350.0,3430.0,3200.0,1680.0,14.1,11.9,11.4,9.08,8.14,10.7,4.89,6.14,5.64,49.9,299.0,273.0,257.0,9.05,7.98,7.6,7.36,775.0,-1.39,-1.55,48.4,-4.54,-0.19,-0.28300000000000003,-0.267,-0.273,0.0846,0.7609999999999999,0.617,0.67,20.0,13.0,16.0,0.0,0.14300000000000002,0.14300000000000002,0.013999999999999999,23.1,0.742,1.1,1.09,1.0,0.0,1.0,-0.701,8.31,-0.701,8.31,8.31,0.537,0.907,0.506,2.0,0.4,-2.7,0.0,12.3,0.0,7.66,0.0,-0.701,0.0,0.0,2.14,0.961,14.5,0.968,10.3,1.57,0.0307,0
49.0,23.0,21.0,300.0,695.0,996.0,1060.0,1000.0,880.0,572.0,844.0,789.0,694.0,559.0,683.0,148.0,176.0,168.0,151.0,133.0,114.0,7970.0,7360.0,13800.0,20600.0,22500.0,22300.0,19500.0,15900.0,12300.0,6.77,6.06,4.4,2.94,2.22,4.92,2.93,2.83,2.69,16.6,271.0,226.0,181.0,7.56,6.26,6.03,5.94,2580.0,-0.157,-0.19,89.5,-3.1,-0.0445,-0.0354,-0.0223,-0.0263,0.0279,0.9740000000000001,0.9570000000000001,0.9690000000000001,51.0,38.0,44.0,4.0,0.381,0.381,0.111,55.2,0.636,1.01,0.97,7.0,0.0,1.0,4.96,10.9,0.823,10.9,10.9,0.27899999999999997,0.597,0.268,4.05,2.26,-5.84,67.8,19.6,41.6,11.5,2.54,2.41,0.0,22.3,16.5,0.358,43.4,1.67,27.3,4.43,0.0342,0
88.0,40.0,33.0,776.0,1310.0,1840.0,2080.0,2030.0,1910.0,1080.0,1690.0,1640.0,1570.0,1070.0,1550.0,234.0,284.0,297.0,303.0,322.0,361.0,14400.0,13500.0,24700.0,34900.0,40900.0,40500.0,36600.0,40600.0,47300.0,8.91,7.73,6.98,6.88,5.74,6.17,3.6,3.49,4.26,21.9,259.0,223.0,197.0,8.23,6.66,6.7,6.66,4140.0,-2.4,-2.87,113.0,4.34,-0.213,-0.163,-0.13699999999999998,-0.149,0.0534,0.895,0.982,1.17,92.0,73.0,83.0,9.0,0.485,0.485,0.111,99.4,0.62,1.03,0.997,2.0,1.0,8.0,-0.626,83.2,0.0725,11.2,9.64,0.23,0.569,0.223,4.98,2.79,-1.99,51.5,13.7,26.3,82.9,-13.7,4.4,4.51,5.57,31.1,0.5870000000000001,68.9,1.44,51.4,0.0679,0.0298,0
45.0,24.0,19.0,332.0,626.0,829.0,966.0,954.0,943.0,509.0,767.0,756.0,738.0,499.0,727.0,129.0,163.0,172.0,172.0,149.0,121.0,7270.0,6810.0,13100.0,17500.0,21300.0,20800.0,21500.0,17100.0,14500.0,4.62,4.94,3.65,2.99,2.08,2.1,2.52,2.21,1.92,15.0,253.0,207.0,188.0,7.26,5.74,5.77,5.68,2410.0,0.37799999999999995,0.34299999999999997,65.4,-14.4,0.0883,0.14300000000000002,0.165,0.165,-0.0583,1.28,1.08,1.14,47.0,35.0,41.0,3.0,0.368,0.368,0.0556,50.6,0.6,0.977,0.935,5.0,0.0,0.0,5.65,0.0,1.18,0.0,0.0,0.22,0.506,0.21100000000000002,4.28,2.71,-4.91,63.2,32.1,17.5,0.0,3.45,2.2,4.12,21.5,19.0,0.204,39.0,1.86,27.5,3.88,0.0147,0
23.0,7.0,9.0,102.0,292.0,357.0,332.0,304.0,250.0,247.0,277.0,254.0,203.0,239.0,197.0,70.3,80.4,67.8,55.4,43.0,27.0,3830.0,3750.0,5580.0,6970.0,6560.0,6140.0,5260.0,3370.0,2410.0,9.44,10.1,9.07,7.16,5.82,4.27,3.94,3.83,3.67,39.2,299.0,283.0,261.0,8.3,6.89,6.92,6.69,1010.0,-0.625,-0.6,40.9,7.79,-0.39,-0.20800000000000002,-0.21899999999999997,-0.24100000000000002,0.203,0.703,0.557,0.495,24.0,12.0,18.0,0.0,0.0,0.0,0.0352,26.2,0.733,1.04,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406,0.755,0.374,2.69,1.11,-3.86,6.07,11.5,0.0,8.24,0.0,0.0,0.0,2.38,6.37,0.8170000000000001,18.9,1.18,9.18,2.01,0.0295,0
35.0,11.0,15.0,205.0,450.0,618.0,608.0,496.0,482.0,380.0,500.0,410.0,401.0,363.0,376.0,156.0,192.0,224.0,172.0,183.0,244.0,5330.0,5140.0,8160.0,11500.0,11800.0,9640.0,9020.0,7420.0,5180.0,9.26,8.6,7.36,4.88,3.84,5.99,3.68,3.84,3.15,74.4,333.0,317.0,273.0,7.9,6.73,6.49,6.19,2600.0,-1.03,-0.955,60.3,13.7,-0.174,-0.182,-0.209,-0.16399999999999998,0.0404,0.816,0.4920000000000001,0.45299999999999996,36.0,23.0,29.0,2.0,0.133,0.133,0.0417,38.1,0.7979999999999999,1.03,1.01,1.0,0.0,2.0,0.261,18.8,0.261,9.84,8.93,0.3720000000000001,0.735,0.35200000000000004,3.22,1.36,-6.18,127.0,0.0,5.56,18.8,0.261,0.0,0.0,2.7,15.6,0.667,31.4,1.31,27.8,4.56,0.0237,0
35.0,12.0,15.0,199.0,449.0,615.0,606.0,495.0,481.0,377.0,495.0,408.0,399.0,363.0,376.0,140.0,169.0,185.0,161.0,167.0,179.0,5400.0,5180.0,8230.0,11700.0,12000.0,9720.0,9090.0,7550.0,5300.0,9.06,8.39,7.11,4.73,3.77,6.02,3.72,3.9,3.16,60.3,318.0,297.0,251.0,7.87,6.67,6.42,6.19,2440.0,-0.985,-0.9540000000000001,58.5,12.6,-0.179,-0.175,-0.195,-0.16399999999999998,0.0416,0.8270000000000001,0.541,0.45399999999999996,36.0,23.0,29.0,2.0,0.133,0.133,0.0449,38.4,0.76,1.02,1.0,1.0,0.0,2.0,0.263,18.5,0.263,9.56,8.91,0.363,0.731,0.34299999999999997,3.27,1.38,-5.27,110.0,0.0,5.56,18.5,0.263,0.0,0.0,3.99,16.5,0.62,31.3,1.36,25.1,3.95,0.0246,0
