mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_leaf_nodes,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7609855651855468,0.09722357719919307,0.20383696556091307,0.0007085922973051299,733,38,73,1046,102,1158,gini,"{'n_estimators': 733, 'min_samples_split': 38, 'min_samples_leaf': 73, 'max_leaf_nodes': 1046, 'max_features': 102, 'max_depth': 1158, 'criterion': 'gini'}",0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.2864864864864865,0.013240485096125286,117
0.2880240917205811,0.007710524185396198,0.10411462783813477,0.0015566839377517694,106,22,98,244,1097,539,entropy,"{'n_estimators': 106, 'min_samples_split': 22, 'min_samples_leaf': 98, 'max_leaf_nodes': 244, 'max_features': 1097, 'max_depth': 539, 'criterion': 'entropy'}",0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.2864864864864865,0.013240485096125286,117
2.0570141792297365,0.08986695854273176,0.2109376907348633,0.009824236907135157,463,63,25,1189,262,718,gini,"{'n_estimators': 463, 'min_samples_split': 63, 'min_samples_leaf': 25, 'max_leaf_nodes': 1189, 'max_features': 262, 'max_depth': 718, 'criterion': 'gini'}",0.6756756756756757,0.5945945945945946,0.6216216216216216,0.7027027027027027,0.5405405405405406,0.6270270270270271,0.05771393649746654,31
0.566592788696289,0.051482112695303256,0.10875482559204101,0.006686346978408045,27,29,15,1782,437,1475,entropy,"{'n_estimators': 27, 'min_samples_split': 29, 'min_samples_leaf': 15, 'max_leaf_nodes': 1782, 'max_features': 437, 'max_depth': 1475, 'criterion': 'entropy'}",0.7297297297297297,0.6756756756756757,0.5945945945945946,0.7027027027027027,0.7837837837837838,0.6972972972972973,0.06257209136643364,12
1.8091169357299806,0.06870412682884285,0.20438718795776367,0.002476695243053601,797,32,83,362,671,1063,gini,"{'n_estimators': 797, 'min_samples_split': 32, 'min_samples_leaf': 83, 'max_leaf_nodes': 362, 'max_features': 671, 'max_depth': 1063, 'criterion': 'gini'}",0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.2864864864864865,0.013240485096125286,117
0.9440922737121582,0.05546754975681093,0.10337910652160645,0.0007676052623264189,378,11,58,462,543,1146,entropy,"{'n_estimators': 378, 'min_samples_split': 11, 'min_samples_leaf': 58, 'max_leaf_nodes': 462, 'max_features': 543, 'max_depth': 1146, 'criterion': 'entropy'}",0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.2864864864864865,0.013240485096125286,117
0.2571371555328369,0.007889811943967333,0.10272140502929687,0.00022394048833205302,93,66,40,132,17,54,gini,"{'n_estimators': 93, 'min_samples_split': 66, 'min_samples_leaf': 40, 'max_leaf_nodes': 132, 'max_features': 17, 'max_depth': 54, 'criterion': 'gini'}",0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5675675675675675,0.4594594594594595,0.5297297297297299,0.03666124315202847,85
1.2792961597442627,0.03329538415835804,0.12300405502319336,0.04042700216578373,526,34,98,1757,1020,686,gini,"{'n_estimators': 526, 'min_samples_split': 34, 'min_samples_leaf': 98, 'max_leaf_nodes': 1757, 'max_features': 1020, 'max_depth': 686, 'criterion': 'gini'}",0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.2864864864864865,0.013240485096125286,117
0.630961799621582,0.06670292000309114,0.10319914817810058,0.0006312493164450526,268,63,86,1856,424,1627,gini,"{'n_estimators': 268, 'min_samples_split': 63, 'min_samples_leaf': 86, 'max_leaf_nodes': 1856, 'max_features': 424, 'max_depth': 1627, 'criterion': 'gini'}",0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.2864864864864865,0.013240485096125286,117
1.097818422317505,0.039982389272683744,0.10451683998107911,0.0019170184919530017,289,83,38,877,209,377,gini,"{'n_estimators': 289, 'min_samples_split': 83, 'min_samples_leaf': 38, 'max_leaf_nodes': 877, 'max_features': 209, 'max_depth': 377, 'criterion': 'gini'}",0.7297297297297297,0.5945945945945946,0.5675675675675675,0.5945945945945946,0.4864864864864865,0.5945945945945945,0.07833176619561857,49
0.7600091934204102,0.032776856309550344,0.10669136047363281,0.0059855614140138114,73,68,43,1175,1374,1589,gini,"{'n_estimators': 73, 'min_samples_split': 68, 'min_samples_leaf': 43, 'max_leaf_nodes': 1175, 'max_features': 1374, 'max_depth': 1589, 'criterion': 'gini'}",0.5405405405405406,0.4864864864864865,0.5405405405405406,0.5945945945945946,0.43243243243243246,0.518918918918919,0.055124535282084164,96
13.336277341842651,0.6055309875601568,0.21226649284362792,0.006862938640128843,786,49,32,1387,1026,1258,entropy,"{'n_estimators': 786, 'min_samples_split': 49, 'min_samples_leaf': 32, 'max_leaf_nodes': 1387, 'max_features': 1026, 'max_depth': 1258, 'criterion': 'entropy'}",0.6756756756756757,0.43243243243243246,0.5405405405405406,0.4864864864864865,0.4864864864864865,0.5243243243243243,0.08303941349047142,94
