mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_leaf_nodes,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.43233509063720704,0.03653010183258048,0.10412349700927734,0.0029569416209030545,223,80,55,1679,1824,1313,"{'n_estimators': 223, 'min_samples_split': 80, 'min_samples_leaf': 55, 'max_leaf_nodes': 1679, 'max_features': 1824, 'max_depth': 1313}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.2664463520050049,0.01782733755264452,0.10381617546081542,0.0009337265270227796,127,21,49,508,491,290,"{'n_estimators': 127, 'min_samples_split': 21, 'min_samples_leaf': 49, 'max_leaf_nodes': 508, 'max_features': 491, 'max_depth': 290}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.25513639450073244,0.005483321020859858,0.10348806381225586,0.0009642798282437872,124,68,18,947,1702,384,"{'n_estimators': 124, 'min_samples_split': 68, 'min_samples_leaf': 18, 'max_leaf_nodes': 947, 'max_features': 1702, 'max_depth': 384}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.8251730918884277,0.054553928582690696,0.10284643173217774,0.00027141638063413724,494,70,27,83,1502,1456,"{'n_estimators': 494, 'min_samples_split': 70, 'min_samples_leaf': 27, 'max_leaf_nodes': 83, 'max_features': 1502, 'max_depth': 1456}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.0391146659851074,0.013438234649514085,0.2031402111053467,0.00021582280848063642,606,88,81,528,1624,1523,"{'n_estimators': 606, 'min_samples_split': 88, 'min_samples_leaf': 81, 'max_leaf_nodes': 528, 'max_features': 1624, 'max_depth': 1523}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.7229130744934082,0.07954031461383679,0.2037567138671875,0.0008130706639405061,609,53,7,1840,848,217,"{'n_estimators': 609, 'min_samples_split': 53, 'min_samples_leaf': 7, 'max_leaf_nodes': 1840, 'max_features': 848, 'max_depth': 217}",0.5625,0.5625,0.4375,0.5,0.5625,0.525,0.049999999999999996,89
0.318862247467041,0.025386737501848246,0.10400443077087403,0.0016929086334462194,164,81,38,1159,552,1310,"{'n_estimators': 164, 'min_samples_split': 81, 'min_samples_leaf': 38, 'max_leaf_nodes': 1159, 'max_features': 552, 'max_depth': 1310}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.441734790802002,0.05484344063979084,0.20333504676818848,0.00037926618602435847,802,37,40,1927,1137,1027,"{'n_estimators': 802, 'min_samples_split': 37, 'min_samples_leaf': 40, 'max_leaf_nodes': 1927, 'max_features': 1137, 'max_depth': 1027}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.1576489448547362,0.053644059142420965,0.20326099395751954,0.00032604877323094954,669,74,55,1623,1813,65,"{'n_estimators': 669, 'min_samples_split': 74, 'min_samples_leaf': 55, 'max_leaf_nodes': 1623, 'max_features': 1813, 'max_depth': 65}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.13575325012207032,0.014346064511531984,0.1029841423034668,0.0010636269880393817,59,9,45,17,1917,1116,"{'n_estimators': 59, 'min_samples_split': 9, 'min_samples_leaf': 45, 'max_leaf_nodes': 17, 'max_features': 1917, 'max_depth': 1116}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.1268977165222168,0.0011396522561300353,0.10274686813354492,0.0002764789922679035,62,33,85,1104,673,1302,"{'n_estimators': 62, 'min_samples_split': 33, 'min_samples_leaf': 85, 'max_leaf_nodes': 1104, 'max_features': 673, 'max_depth': 1302}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
3.9244951725006105,0.13755824839582123,0.20730204582214357,0.004724923351604856,854,38,20,1834,1967,1889,"{'n_estimators': 854, 'min_samples_split': 38, 'min_samples_leaf': 20, 'max_leaf_nodes': 1834, 'max_features': 1967, 'max_depth': 1889}",0.5625,0.4375,0.3125,0.5625,0.5625,0.4875,0.1,100
0.6231011867523193,0.008442004874233838,0.107151460647583,0.004438890347925616,301,14,24,1046,230,1410,"{'n_estimators': 301, 'min_samples_split': 14, 'min_samples_leaf': 24, 'max_leaf_nodes': 1046, 'max_features': 230, 'max_depth': 1410}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.9695191383361816,0.02739800423713107,0.16290159225463868,0.04930663070571634,559,7,41,612,1339,531,"{'n_estimators': 559, 'min_samples_split': 7, 'min_samples_leaf': 41, 'max_leaf_nodes': 612, 'max_features': 1339, 'max_depth': 531}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.4880478858947754,0.02293913747618618,0.1037135124206543,0.0018196872928937695,282,49,94,1065,1724,1924,"{'n_estimators': 282, 'min_samples_split': 49, 'min_samples_leaf': 94, 'max_leaf_nodes': 1065, 'max_features': 1724, 'max_depth': 1924}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.151233148574829,0.04627045197906041,0.20314393043518067,0.00034960686527956705,673,76,2,989,1840,233,"{'n_estimators': 673, 'min_samples_split': 76, 'min_samples_leaf': 2, 'max_leaf_nodes': 989, 'max_features': 1840, 'max_depth': 233}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.408700132369995,0.042214417282685164,0.20309481620788575,0.00044270006039521457,784,78,43,1137,1572,1584,"{'n_estimators': 784, 'min_samples_split': 78, 'min_samples_leaf': 43, 'max_leaf_nodes': 1137, 'max_features': 1572, 'max_depth': 1584}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.12078018188476562,0.00485494797249374,0.10288400650024414,0.0003818291639665642,24,28,89,1172,397,1078,"{'n_estimators': 24, 'min_samples_split': 28, 'min_samples_leaf': 89, 'max_leaf_nodes': 1172, 'max_features': 397, 'max_depth': 1078}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
2.051689100265503,0.164377099523455,0.20368547439575196,0.0008505155854045065,703,51,22,424,1459,1309,"{'n_estimators': 703, 'min_samples_split': 51, 'min_samples_leaf': 22, 'max_leaf_nodes': 424, 'max_features': 1459, 'max_depth': 1309}",0.625,0.5625,0.3125,0.5625,0.5625,0.525,0.10897247358851683,89
0.2374204158782959,0.05704213946208919,0.10543861389160156,0.002950750634458005,107,92,43,17,1846,482,"{'n_estimators': 107, 'min_samples_split': 92, 'min_samples_leaf': 43, 'max_leaf_nodes': 17, 'max_features': 1846, 'max_depth': 482}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.9629385471343994,0.15439380431225824,0.2046083927154541,0.001279364273750233,640,27,4,179,546,40,"{'n_estimators': 640, 'min_samples_split': 27, 'min_samples_leaf': 4, 'max_leaf_nodes': 179, 'max_features': 546, 'max_depth': 40}",0.5625,0.5625,0.5,0.375,0.5625,0.5125,0.07288689868556626,93
0.16365294456481932,0.004606698685859903,0.10866923332214355,0.004775834502934716,79,83,20,471,1237,612,"{'n_estimators': 79, 'min_samples_split': 83, 'min_samples_leaf': 20, 'max_leaf_nodes': 471, 'max_features': 1237, 'max_depth': 612}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.5519804000854491,0.10403968755000008,0.20487489700317382,0.002614429749709824,905,16,42,1465,792,741,"{'n_estimators': 905, 'min_samples_split': 16, 'min_samples_leaf': 42, 'max_leaf_nodes': 1465, 'max_features': 792, 'max_depth': 741}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.4859839916229248,0.07696354530790074,0.10348334312438964,0.0013582367136987185,150,27,7,664,668,329,"{'n_estimators': 150, 'min_samples_split': 27, 'min_samples_leaf': 7, 'max_leaf_nodes': 664, 'max_features': 668, 'max_depth': 329}",0.5625,0.5625,0.5,0.4375,0.5,0.5125,0.04677071733467427,93
1.3998932361602783,0.08935144184964093,0.20391974449157715,0.001523583194688897,811,28,90,841,958,1613,"{'n_estimators': 811, 'min_samples_split': 28, 'min_samples_leaf': 90, 'max_leaf_nodes': 841, 'max_features': 958, 'max_depth': 1613}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.671640682220459,0.0433514020114739,0.20292677879333496,0.00030823738694983014,940,23,37,844,548,967,"{'n_estimators': 940, 'min_samples_split': 23, 'min_samples_leaf': 37, 'max_leaf_nodes': 844, 'max_features': 548, 'max_depth': 967}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
2.065022611618042,0.02677274294226366,0.20374011993408203,0.0004707624441683972,920,9,24,1914,486,1131,"{'n_estimators': 920, 'min_samples_split': 9, 'min_samples_leaf': 24, 'max_leaf_nodes': 1914, 'max_features': 486, 'max_depth': 1131}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.544001054763794,0.03152436299661268,0.2034428596496582,0.0004968363439185842,910,62,68,313,988,97,"{'n_estimators': 910, 'min_samples_split': 62, 'min_samples_leaf': 68, 'max_leaf_nodes': 313, 'max_features': 988, 'max_depth': 97}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
0.8377938747406006,0.013766524422534088,0.10250954627990723,0.00032907818499774104,479,10,45,337,1318,1580,"{'n_estimators': 479, 'min_samples_split': 10, 'min_samples_leaf': 45, 'max_leaf_nodes': 337, 'max_features': 1318, 'max_depth': 1580}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.2736315727233887,0.0769573119963281,0.20299735069274902,0.0001427847925670149,724,72,14,980,493,62,"{'n_estimators': 724, 'min_samples_split': 72, 'min_samples_leaf': 14, 'max_leaf_nodes': 980, 'max_features': 493, 'max_depth': 62}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
2.604926919937134,0.11294618790904067,0.1339714527130127,0.04150866892254224,431,7,6,543,1347,750,"{'n_estimators': 431, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_leaf_nodes': 543, 'max_features': 1347, 'max_depth': 750}",0.5625,0.4375,0.5625,0.3125,0.625,0.5,0.11180339887498948,98
2.9891427993774413,0.06844025576797376,0.20732078552246094,0.0029475236897873614,913,44,27,705,1853,1448,"{'n_estimators': 913, 'min_samples_split': 44, 'min_samples_leaf': 27, 'max_leaf_nodes': 705, 'max_features': 1853, 'max_depth': 1448}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.3554792881011963,0.030253310622985974,0.2033860683441162,0.0006770815810267466,773,57,52,544,1243,742,"{'n_estimators': 773, 'min_samples_split': 57, 'min_samples_leaf': 52, 'max_leaf_nodes': 544, 'max_features': 1243, 'max_depth': 742}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
1.6633753776550293,0.09265808609587374,0.20402755737304687,0.001989913297408217,562,37,14,880,813,98,"{'n_estimators': 562, 'min_samples_split': 37, 'min_samples_leaf': 14, 'max_leaf_nodes': 880, 'max_features': 813, 'max_depth': 98}",0.625,0.5625,0.5,0.5625,0.5625,0.5625,0.03952847075210474,86
1.0517838954925538,0.06255270812897087,0.2039247512817383,0.002100302836978242,629,72,38,1819,422,794,"{'n_estimators': 629, 'min_samples_split': 72, 'min_samples_leaf': 38, 'max_leaf_nodes': 1819, 'max_features': 422, 'max_depth': 794}",0.625,0.5625,0.5625,0.5625,0.5625,0.575,0.024999999999999998,1
