"SMILES","Ro5","cRo5","DLS_01","DLS_02","DLS_03","DLS_04","DLS_05","DLS_06","DLS_07","DLS_cons","LLS_01","LLS_02","CMC-80","CMC-50","Inflammat-80","Inflammat-50","Depressant-80","Depressant-50","Psychotic-80","Psychotic-50","Hypertens-80","Hypertens-50","Hypnotic-80","Hypnotic-50","Neoplastic-80","Neoplastic-50","Infective-80","Infective-50"
"COC(=O)[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3CC=C3[C@@H]5CC(C)(C)CC(=O)[C@]5(C)CC[C@@]43C)[C@@]2(C)CO)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1.0","0.0","0.25","0.17","0.33","0.6","1.0","0.33","0.5","0.45","0.17","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=C(O[C@@H]2O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]2O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1","0.0","1.0","0.75","0.67","0.83","0.9","1.0","0.67","0.5","0.76","0.17","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1","0.0","1.0","1.0","1.0","1.0","0.6","0.0","1.0","1.0","0.8","0.5","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0"
"COC1=CC(O)=C(C(C)=O)C(OC)=C1","0.0","1.0","1.0","0.83","0.83","1.0","1.0","1.0","1.0","0.95","0.83","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"CC(=O)OC1=CC=C(C=C1)C1=C(OC(C)=O)C(=O)C2=C(O1)C=C(OC(C)=O)C=C2OC(C)=O","0.0","1.0","1.0","0.67","0.83","0.4","0.0","1.0","1.0","0.7","0.33","0.88","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"OC1=CC=C(CCNC(=O)\C=C\C2=CC=C(O)C=C2)C=C1","0.0","1.0","1.0","1.0","1.0","0.6","0.0","1.0","1.0","0.8","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0"
"CC1(C)CCC[C@]2(C)C(CC=C3CCOC3=O)[C@]3(CO3)CCC12","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.67","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"OC1=CC(O)=C2C(OC3=CC(O)=C(O)C=C3C2=O)=C1","0.0","1.0","1.0","0.83","1.0","0.4","0.0","1.0","1.0","0.75","0.5","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"COC1=CC2=NC=CC(OC3=CC(Cl)=C(NC(=O)NC4CC4)C=C3)=C2C=C1C(N)=O","0.0","1.0","1.0","1.0","1.0","0.6","0.0","1.0","1.0","0.8","0.17","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1","0.0","1.0","1.0","0.83","1.0","0.6","0.0","1.0","1.0","0.78","0.33","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"O[C@@H](CC(O)=O)C(O)=O.COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC","0.0","1.0","0.75","0.83","0.83","0.5","0.5","0.83","1.0","0.75","0.33","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
