"SMILES","Ro5","cRo5","DLS_01","DLS_02","DLS_03","DLS_04","DLS_05","DLS_06","DLS_07","DLS_cons","LLS_01","LLS_02","CMC-80","CMC-50","Inflammat-80","Inflammat-50","Depressant-80","Depressant-50","Psychotic-80","Psychotic-50","Hypertens-80","Hypertens-50","Hypnotic-80","Hypnotic-50","Neoplastic-80","Neoplastic-50","Infective-80","Infective-50"
"COC1=C(O)C(O)=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.5","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
"O[C@@H]1[C@@H](O)[C@H](OC2=C(O)C(O)=C3C(=O)C=C(OC3=C2)C2=CC=CC=C2)O[C@@H]([C@H]1O)C(O)=O","1.0","0.0","0.5","0.67","0.67","0.5","0.5","0.5","0.5","0.55","0.17","0.75","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"CC[C@@]1(O)C[C@H](O)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=C(O)C=CC(O)=C1C3=O","0.0","1.0","1.0","0.83","1.0","1.0","0.5","0.83","0.5","0.81","0.33","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC=CC=C1N(=O)=O)C(=O)OCC(C)C","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.33","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"OC1=CC(O)=C(O)C2=C1C(=O)C1=CC=CC=C1C2=O","0.0","1.0","1.0","0.83","1.0","0.4","0.0","1.0","1.0","0.75","0.67","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"CC1CCCC2(C)CC3OC(=O)C(=C)C3C=C12","0.0","1.0","1.0","0.83","1.0","1.0","1.0","1.0","1.0","0.98","0.83","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0"
"[Na+].CC1=C(C=CC(=C1)C1=CC(C)=C(C=C1)\N=N\C1=C(O)C2=C(C=C1)C(=CC(=C2N)S(O)(=O)=O)S(O)(=O)=O)\N=N\C1=C(O)C2=C(C=C1)C(=CC(=C2N)S(O)(=O)=O)S(O)(=O)=O","1.0","0.0","0.25","0.33","0.33","0.1","0.0","0.33","0.5","0.26","0.17","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"[Ca++].NC1=NC2=C(N(C=O)C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)CN2)C(=O)N1","1.0","0.0","0.5","0.5","0.5","0.8","0.5","0.5","0.5","0.54","0.17","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OC1=C2N=CC=CC2=C(C=C1)N(=O)=O","0.0","1.0","1.0","0.83","0.83","0.4","0.0","1.0","1.0","0.72","0.67","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0"
"ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O","0.0","1.0","1.0","0.83","1.0","0.4","0.0","1.0","1.0","0.75","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"OC[C@H]1O[C@@H](OC2=CC=CC3=C2C(=O)C2=C(C=C(C=C2O)C(O)=O)C3[C@@H]2C3=C(C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=CC=C3)C(=O)C3=C2C=C(C=C3O)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","1.0","0.0","0.25","0.17","0.33","0.6","1.0","0.33","0.5","0.45","0.17","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CCOC1=CC=C(C=C1)C(=O)C1=C(O)C(O)=C(OC)C=C1","0.0","1.0","1.0","1.0","1.0","0.6","0.5","1.0","1.0","0.87","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0"
"COC1=CC=CC(O)=C1O","0.0","1.0","1.0","0.83","0.83","0.8","0.0","1.0","1.0","0.78","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OC1=C(Br)C=C(Br)C2=C1N=CC=C2","0.0","1.0","1.0","0.83","1.0","0.4","0.0","1.0","1.0","0.75","0.67","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"COC(C)(C)\C=C\C[C@H](C)[C@@H]1CC[C@]2(C)[C@H]3[C@H](O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)C=C4[C@H](CC[C@@H](O)C4(C)C)[C@]3(CC[C@@]12C)C=O","0.0","1.0","0.75","0.67","0.67","0.9","1.0","0.67","0.5","0.74","0.17","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","0.0","1.0","0.75","0.83","0.83","0.4","0.5","0.83","1.0","0.74","0.5","0.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC(C)(C)C=CCC(C)C1CC[C@@]2(C)C3C=C[C@@]45OC[C@]3(CC[C@]12C)C4CCC(OC1OC(CO)C(O)C(O)C1O)C5(C)C","0.0","1.0","0.75","0.67","0.83","0.9","1.0","0.83","1.0","0.85","0.17","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2[C@]1(C)O)C(O)=O","0.0","1.0","0.75","0.83","1.0","1.0","1.0","1.0","1.0","0.94","0.17","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=C(O)C=CC(CCC(O)CC(=O)CCC2=CC(OC)=C(O)C=C2)=C1","0.0","1.0","1.0","0.83","0.83","1.0","1.0","1.0","1.0","0.95","0.33","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0"
"CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@@H](C[C@@]33OO[C@@]21C=C3)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","0.0","1.0","0.75","0.67","0.83","0.9","1.0","0.83","1.0","0.85","0.0","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"O[C@H](CC1=CC(O)=C(O)C=C1)C(O)=O","0.0","1.0","1.0","0.83","0.83","0.8","0.5","1.0","1.0","0.85","0.5","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"C[C@H]1[C@@H](O)C[C@H]2[C@@H]1[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(O)=O","0.0","1.0","0.75","0.67","0.83","0.8","1.0","0.67","0.5","0.75","0.17","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@H]3CC=C(CO)[C@@H]23)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","0.0","1.0","0.75","0.67","0.83","0.8","1.0","0.67","0.5","0.75","0.17","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CC(=C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12","0.0","1.0","0.75","0.83","0.83","0.7","0.5","0.83","1.0","0.78","0.67","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=C(O)C=CC(CNC(=O)CCCCCCC(C)C)=C1","0.0","1.0","1.0","0.83","0.83","1.0","1.0","1.0","1.0","0.95","0.5","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(=O)N1","1.0","0.0","0.5","0.67","0.5","0.2","0.0","0.5","0.5","0.41","0.17","0.75","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"COC1=C(CC=C(C)C)C2=C(C=CC(=O)O2)C=C1","0.0","1.0","1.0","1.0","1.0","0.8","0.5","1.0","1.0","0.9","0.83","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0"
"O=C1N2CCC3=C(NC4=CC=CC=C34)C2=NC2=CC=CC=C12","0.0","1.0","1.0","0.83","1.0","0.4","0.0","1.0","1.0","0.75","0.67","0.88","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
"NC(CCCNC(N)=N)C(O)=O","0.0","1.0","0.75","0.5","0.67","0.8","1.0","0.83","1.0","0.79","0.33","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=C(O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.67","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
"CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C1CC[C@@]2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)[C@@]3(C)C(=O)C[C@]12C","1.0","0.0","0.25","0.0","0.17","0.6","1.0","0.17","0.0","0.31","0.17","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"C[C@@]1(C[C@@H](O)[C@]2(O)C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12)OC(=O)\C=C\C1=CC=CC=C1","1.0","0.0","0.5","0.5","0.67","0.7","1.0","0.5","0.5","0.62","0.17","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O","0.0","1.0","1.0","1.0","1.0","0.6","0.0","1.0","1.0","0.8","0.33","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0"
"C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@]11CC[C@H](C)CN1","0.0","1.0","0.75","0.5","0.83","0.7","1.0","0.83","1.0","0.8","0.67","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OC1C(O)C(OC2=C(O)C=CC(=C2)C2OC3=CC(O)=CC(O)=C3C(=O)C2O)OC(C1O)C(O)=O","1.0","0.0","0.5","0.5","0.67","0.5","0.5","0.5","0.5","0.52","0.17","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
