,SpMax4_Bh(m),SpMin7_Bh(m),AVS_RG,TDB10r,Mor14s,G3e,score
0,3.11,0.318,2.67,0.0,-1.57,0.207,3
1,3.06,0.835,3.22,4.05,-12.0,0.182,3
2,3.96,1.31,3.6,5.85,-13.2,0.14,2
3,3.03,0.836,3.21,4.32,-14.6,0.231,2
4,3.75,1.86,0.0,0.0,0.0,0.0,1
5,3.68,1.55,4.23,4.68,-9.1,0.1639999999999999,0
