,H%,SpPosA_B(m),WiA_B(s),GATS4v,J_G,SpAD_RG,TDB02e,TDB03s,TDB07s,RDF030u,RDF030e,Mor25u,Mor04m,Mor25e,Mor10i,P1s,R8e,CATS2D_06_DA,ALOGP,BLTA96,score
0,43.5,2.62,0.523,1.26,2.63,19.0,2.33,10.3,21.3,4.34,3.92,0.4270000000000001,2.07,0.3720000000000001,-0.246,0.6409999999999999,0.421,0.0,0.0,-3.85,3
1,30.3,1.43,0.371,0.995,1.95,30.0,2.55,21.3,47.1,10.4,10.7,0.515,0.954,0.52,1.3,0.76,0.6779999999999999,4.0,1.24,-0.71,3
2,34.3,1.46,0.17,1.09,1.2,60.2,2.47,12.4,25.6,6.77,7.7,1.97,-0.434,1.91,-0.918,0.933,0.38,8.0,6.34,-4.04,2
3,30.3,1.44,0.371,0.985,1.93,30.1,2.55,20.7,53.0,10.9,11.0,0.503,0.8759999999999999,0.511,1.11,0.7709999999999999,0.619,4.0,1.24,-0.71,2
4,54.0,1.33,0.105,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,-3.13,1
5,43.2,1.38,0.171,0.933,1.9,64.0,2.32,10.1,22.4,21.9,21.5,2.29,-0.005,2.3,-1.17,0.767,0.867,2.0,6.69,-5.02,0
