nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
17.0,75.6,8380.0,189.0,158.0,-0.0348,-0.0111,-0.0168,0.848,1.14,0.583,2.0,1.91,1.02,0.0,0.0,0.267,0.258,3.63,2.04,-3.28,13.5,7.05,30.1,1.91,7.54,8.5,0.261,1.69,2.26,0
26.0,176.0,13900.0,208.0,186.0,-0.12,0.0037600000000000003,-0.00602,0.991,1.1,0.585,4.0,4.33,1.14,10.5,10.5,0.215,0.209,4.36,2.5,-4.83,57.7,0.0,64.0,6.67,5.62,16.9,0.183,1.85,4.96,0
28.0,184.0,14600.0,205.0,181.0,-0.0534,-0.0347,-0.0367,0.75,1.11,0.591,6.0,5.34,1.05,10.5,10.5,0.21899999999999997,0.212,4.45,2.54,-4.63,51.5,0.0,59.3,8.8,6.86,19.1,0.223,1.76,5.01,0
30.0,188.0,14800.0,200.0,175.0,-0.11800000000000001,-0.0778,-0.0828,0.985,1.13,0.5770000000000001,6.0,6.42,1.17,10.5,10.5,0.205,0.19899999999999998,4.56,2.63,-5.11,63.1,0.0,69.9,8.61,9.07,19.9,0.155,1.83,5.85,0
28.0,199.0,15600.0,204.0,167.0,0.0352,0.0944,0.0838,1.12,1.05,0.608,8.0,8.66,1.11,0.0,0.0,0.226,0.21600000000000005,4.46,2.86,-4.55,49.8,24.5,31.2,5.38,29.9,20.7,0.24100000000000002,1.81,4.14,0
28.0,189.0,15300.0,202.0,166.0,0.0145,0.0927,0.0835,1.12,1.09,0.6,7.0,7.0,1.1,0.0,0.0,0.22699999999999998,0.218,4.43,2.83,-4.75,37.0,24.5,31.7,3.76,27.9,16.7,0.249,1.79,4.14,0
20.0,123.0,10800.0,191.0,155.0,-0.0075,0.0386,0.0248,0.9359999999999999,1.14,0.585,5.0,4.66,1.04,0.0,0.0,0.265,0.256,3.83,2.18,-2.93,38.1,18.0,26.2,2.65,13.1,11.3,0.353,1.66,2.18,0
19.0,90.1,9500.0,179.0,180.0,-0.0215,0.0513,0.0315,1.26,1.24,0.569,1.0,0.927,0.927,0.0,0.0,0.273,0.267,3.7,2.18,-3.48,44.2,21.3,12.5,0.927,2.62,8.7,0.376,1.58,1.85,0
21.0,113.0,10400.0,187.0,186.0,-0.0757,0.00745,-0.009059999999999999,1.09,1.13,0.581,4.0,3.63,1.14,0.0,0.0,0.28600000000000003,0.28,3.75,2.14,-4.11,42.8,26.5,18.9,1.94,4.34,9.83,0.44299999999999995,1.52,2.71,0
23.0,129.0,12300.0,200.0,194.0,0.0197,0.0473,0.0268,1.25,1.1,0.603,3.0,2.49,0.871,0.0,0.0,0.256,0.247,4.09,2.54,-5.49,42.8,27.9,11.1,0.871,11.2,14.6,0.35100000000000003,1.66,3.04,0
