,Unnamed: 0,nDB,nS,DBI,SIC4,VE1sign_Dz(e),AVS_B(e),MATS8m,MATS6v,MATS6e,MATS7e,MATS7s,GATS5m,GATS2v,GATS2s,SM12_AEA(ed),Eig01_AEA(dm),TDB07u,TDB10u,TDB06v,TDB04e,TDB06s,TDB06r,RDF120i,Mor17u,Mor09m,Mor26m,Mor07e,Mor14e,Mor11p,Mor17p,Mor12i,Mor16s,G3e,E3p,L2i,G3i,E1i,De,HATS3u,HATS4u,HATS4m,HATS7m,HATS2v,H8i,HATS3i,HATS4i,HATS7s,R3m+,R4m+,R7m+,R3p+,R3s+,nCp,C-001,CATS2D_01_LL,B01[C-O],B05[C-S],F01[C-O],F08[N-N],score
11,11,0.0,0.0,2.0,0.939,0.01,3.6,0.5529999999999999,-0.063,0.102,-0.244,-0.1889999999999999,0.875,0.799,1.03,22.7,3.19,7.22,0.0,1.85,4.16,20.4,2.64,0.0,-0.507,-1.33,-0.0409999999999999,2.56,0.144,0.361,-0.312,-1.16,0.894,1.0,0.0559999999999999,2.47,1.0,0.583,0.3939999999999999,0.318,0.401,0.071,0.043,0.094,0.5920000000000001,0.426,0.5429999999999999,0.894,0.039,0.037,0.017,0.021,0.347,1.0,0.0,3.0,1.0,0.0,3.0,0.0,3
12,12,2.0,0.0,2.0,0.946,0.1669999999999999,3.69,-0.241,-0.018,-0.022,-0.109,-0.122,1.12,0.927,0.653,23.5,3.67,7.09,9.96,2.95,4.55,29.4,3.61,1.44,0.198,-1.06,-0.075,3.02,-1.12,0.071,0.23,0.35,1.07,0.397,0.037,3.02,0.3389999999999999,0.606,0.4029999999999999,0.315,0.476,0.141,0.084,0.088,0.231,0.3989999999999999,0.6409999999999999,1.26,0.071,0.073,0.017,0.021,1.45,0.0,0.0,6.0,1.0,0.0,6.0,0.0,2
13,13,6.0,2.0,4.8,0.772,0.0,3.8,-0.0139999999999999,-0.037,0.1119999999999999,-0.314,-0.272,0.993,0.904,0.384,24.9,5.18,6.83,9.85,2.76,4.34,29.6,3.57,20.1,-0.466,-2.87,-0.843,7.25,-1.9,1.28,0.406,-0.597,0.18,0.14,0.027,4.5,0.14,0.631,0.419,0.246,0.185,0.128,0.034,0.115,0.983,0.326,0.231,1.15,0.032,0.032,0.008,0.02,0.483,0.0,0.0,21.0,0.0,1.0,0.0,0.0,2
14,14,2.0,0.0,2.35,0.94,0.079,3.67,-0.392,0.02,0.072,0.1169999999999999,0.1939999999999999,1.2,0.856,0.703,23.8,3.76,6.97,10.0,2.99,4.64,38.6,3.72,0.603,0.8190000000000001,-1.48,-0.001,2.64,-1.93,0.245,0.508,1.55,2.76,0.231,0.142,3.22,0.214,0.625,0.4639999999999999,0.33,0.484,0.207,0.218,0.104,0.016,0.422,0.657,3.88,0.081,0.068,0.032,0.02,1.64,0.0,0.0,2.0,1.0,0.0,9.0,0.0,2
15,15,2.0,0.0,2.24,0.987,0.121,3.68,-0.3829999999999999,-0.074,0.03,0.134,0.181,1.16,0.8809999999999999,0.6779999999999999,23.7,3.76,6.94,10.2,3.0,4.59,35.8,3.71,1.57,0.584,-1.39,0.017,2.83,-1.54,0.268,0.424,1.03,1.66,0.1669999999999999,0.18,2.97,0.291,0.605,0.469,0.395,0.517,0.1669999999999999,0.1969999999999999,0.115,0.118,0.509,0.6990000000000001,3.26,0.092,0.072,0.038,0.026,1.86,0.0,0.0,3.0,1.0,0.0,8.0,0.0,2
16,16,5.0,0.0,1.73,0.959,0.035,3.77,-0.298,-0.1169999999999999,0.0409999999999999,0.305,0.203,1.05,0.851,0.513,23.3,3.44,7.24,0.0,2.22,4.19,17.9,3.01,0.0,-0.213,-1.49,0.088,3.62,-0.332,0.22,-0.151,-0.208,0.754,0.7170000000000001,0.024,2.98,0.7170000000000001,0.589,0.392,0.298,0.477,0.071,0.075,0.113,0.0,0.409,0.634,1.52,0.034,0.021,0.019,0.023,0.385,1.0,1.0,4.0,1.0,0.0,1.0,0.0,2
17,17,5.0,0.0,4.95,0.809,0.095,3.56,-0.159,0.031,0.033,0.0139999999999999,0.025,0.957,0.85,0.461,23.6,3.73,6.55,9.12,2.54,4.3,21.3,3.19,13.9,-0.598,-2.06,0.0,8.83,-0.946,-0.018,-0.0409999999999999,-0.562,-0.562,0.1639999999999999,0.222,6.63,0.156,0.583,0.417,0.181,0.089,0.048,0.1009999999999999,0.075,0.58,0.253,0.106,1.13,0.021,0.019,0.023,0.013,0.296,5.0,5.0,4.0,1.0,0.0,17.0,0.0,2
18,18,5.0,0.0,5.24,0.879,0.281,3.44,-0.048,-0.081,-0.03,-0.045,-0.063,0.981,0.941,0.494,25.0,3.85,6.11,8.85,1.91,3.74,13.1,2.53,31.4,-3.36,-0.795,-0.35,3.64,3.84,-0.742,-1.17,-4.41,1.79,0.1639999999999999,0.315,7.59,0.14,0.5539999999999999,0.485,0.2239999999999999,0.264,0.069,0.05,0.081,0.927,0.28,0.34,0.635,0.032,0.023,0.008,0.02,0.34,6.0,6.0,20.0,1.0,0.0,9.0,0.0,2
19,19,4.0,0.0,4.06,0.8759999999999999,0.068,3.62,-0.16,-0.119,-0.089,0.0279999999999999,0.004,0.933,0.722,0.578,24.8,3.81,6.52,9.44,2.38,4.03,18.1,3.03,17.7,-1.49,-1.18,-0.416,4.43,0.2189999999999999,0.326,-0.195,-1.3,-2.68,0.158,0.315,3.35,0.1639999999999999,0.637,0.487,0.2289999999999999,0.318,0.075,0.0559999999999999,0.07,0.436,0.291,0.414,0.7440000000000001,0.022,0.019,0.01,0.015,0.238,5.0,5.0,8.0,1.0,0.0,12.0,0.0,2
20,20,2.0,0.0,1.87,0.943,0.1,3.7,-0.259,-0.179,-0.087,0.086,0.066,1.14,0.948,0.64,23.4,3.73,6.99,10.2,2.99,4.44,30.2,3.66,0.0,0.156,-1.19,-0.053,3.17,-0.753,0.376,0.233,-0.148,-0.331,0.209,0.187,2.93,0.218,0.5870000000000001,0.442,0.509,0.507,0.127,0.157,0.135,0.036,0.662,0.674,2.59,0.081,0.044,0.03,0.035,1.92,0.0,0.0,8.0,1.0,0.0,5.0,0.0,2
