0,0.16009
1,0.40879
2,0.05993
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.02291
9,0.00000
10,0.01318
11,0.04617
12,0.00311
13,0.04949
14,0.00001
15,0.00484
16,0.00001
17,0.00000
18,0.00228
19,0.00002
20,0.00303
21,0.00149
22,0.00549
23,-0.00000
24,0.00001
25,0.00000
26,0.00000
27,0.01566
28,0.00000
29,0.00018
30,0.07037
31,0.00005
32,0.00420
33,0.00000
34,0.00001
35,0.00000
36,0.00054
37,0.03125
38,0.00000
39,0.00000
40,0.00002
41,0.00001
42,0.00248
43,0.00079
44,0.00029
45,0.00364
46,0.00108
47,0.00000
48,0.00132
49,0.00006
50,0.00001
51,0.00390
52,0.00000
53,0.00000
54,0.02432
55,0.05884
56,0.00001
57,0.00000
58,0.00009
59,0.00001
