"SMILES","Eta_alpha","Eta_alpha_A","Eta_epsi","Eta_epsi_A","Eta_betaS","Eta_betaS_A","Eta_betaP","Eta_betaP_A","Eta_beta","Eta_beta_A","Eta_C","Eta_C_A","Eta_L","Eta_L_A","Eta_F","Eta_F_A","Eta_FL","Eta_FL_A","Eta_B","Eta_B_A","Eta_sh_p","Eta_sh_y","Eta_sh_x"
"CCOC1=CC=C(C=C1)C(=O)C1=C(O)C(O)=C(OC)C=C1","9.67","0.46","23.3","0.631","12.8","0.607","15.5","0.738","28.2","1.35","13.6","0.65","4.16","0.198","21.4","1.02","5.92","0.282","0.507","0.024","0.207","0.362","0.0"
"COC1=CC=CC(O)=C1O","4.5","0.45","11.7","0.65","6.0","0.6","7.5","0.75","13.5","1.35","4.41","0.441","1.76","0.176","7.71","0.771","3.0","0.3","0.247","0.025","0.259","0.333","0.0"
"OC1=C(Br)C=C(Br)C2=C1N=CC=C2","7.9","0.608","11.9","0.661","7.75","0.596","10.5","0.808","18.2","1.4","10.1","0.78","3.02","0.232","7.66","0.589","3.18","0.244","0.388","0.03","0.38","0.316","0.0"
"COC(C)(C)\C=C\C[C@H](C)[C@@H]1CC[C@]2(C)[C@H]3[C@H](O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)C=C4[C@H](CC[C@@H](O)C4(C)C)[C@]3(CC[C@@]12C)C=O","21.5","0.467","57.1","0.539","28.0","0.609","3.5","0.076","31.5","0.685","92.6","2.01","17.1","0.371","28.2","0.613","4.36","0.095","1.91","0.041","0.279","0.279","0.116"
"CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","14.3","0.494","36.1","0.457","16.2","0.56","0.0","0.0","16.2","0.56","56.1","1.93","13.4","0.461","1.5","0.052","0.282","0.01","1.09","0.038","0.233","0.314","0.07"
"COC(C)(C)C=CCC(C)C1CC[C@@]2(C)C3C=C[C@@]45OC[C@]3(CC[C@]12C)C4CCC(OC1OC(CO)C(O)C(O)C1O)C5(C)C","21.2","0.47","55.6","0.53","28.0","0.622","2.0","0.044","30.0","0.667","89.4","1.99","17.2","0.382","22.2","0.494","3.85","0.086","1.9","0.042","0.252","0.236","0.142"
"C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2[C@]1(C)O)C(O)=O","16.7","0.476","42.7","0.515","20.8","0.593","2.5","0.071","23.2","0.664","72.2","2.06","13.9","0.397","14.3","0.41","2.12","0.06","1.85","0.053","0.31","0.24","0.18"
"COC1=C(O)C=CC(CCC(O)CC(=O)CCC2=CC(OC)=C(O)C=C2)=C1","12.5","0.463","31.3","0.591","16.0","0.593","15.5","0.574","31.5","1.17","23.4","0.865","6.51","0.241","24.3","0.901","6.41","0.238","0.664","0.025","0.187","0.32","0.0"
"CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@@H](C[C@@]33OO[C@@]21C=C3)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","19.7","0.468","51.7","0.539","26.0","0.619","2.0","0.048","28.0","0.667","78.4","1.87","16.4","0.39","19.7","0.47","3.44","0.082","1.61","0.038","0.22","0.305","0.102"
"O[C@H](CC1=CC(O)=C(O)C=C1)C(O)=O","6.17","0.44","16.6","0.693","8.25","0.589","8.5","0.607","16.8","1.2","8.27","0.591","2.88","0.206","11.8","0.842","3.62","0.258","0.497","0.036","0.27","0.405","0.0"
"C[C@H]1[C@@H](O)C[C@H]2[C@@H]1[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(O)=O","11.3","0.436","33.1","0.661","17.2","0.663","3.0","0.115","20.2","0.779","31.2","1.2","8.29","0.319","19.0","0.729","3.96","0.152","0.916","0.035","0.25","0.529","0.0"
"OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@H]3CC=C(CO)[C@@H]23)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","11.3","0.436","32.5","0.676","17.2","0.663","4.0","0.154","21.2","0.817","29.0","1.12","7.88","0.303","20.3","0.782","4.5","0.173","0.789","0.03","0.206","0.485","0.0"
"CC(=C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12","15.7","0.49","38.9","0.475","18.5","0.578","1.0","0.031","19.5","0.609","66.4","2.08","13.8","0.43","6.38","0.199","1.12","0.035","1.47","0.046","0.266","0.223","0.16"
"COC1=C(O)C=CC(CNC(=O)CCCCCCC(C)C)=C1","10.4","0.473","26.8","0.525","12.5","0.568","8.5","0.386","21.0","0.955","21.6","0.98","6.81","0.31","13.4","0.608","3.71","0.169","0.476","0.022","0.208","0.24","0.0"
"NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(=O)N1","14.3","0.447","35.5","0.696","21.8","0.68","20.5","0.641","42.2","1.32","24.2","0.755","6.47","0.202","36.8","1.15","8.76","0.274","0.949","0.03","0.168","0.385","0.0"
"COC1=C(CC=C(C)C)C2=C(C=CC(=O)O2)C=C1","8.5","0.472","19.7","0.579","10.8","0.597","11.0","0.611","21.8","1.21","13.6","0.757","4.09","0.227","14.4","0.803","4.52","0.251","0.473","0.026","0.216","0.353","0.0"
"O=C1N2CCC3=C(NC4=CC=CC=C34)C2=NC2=CC=CC=C12","10.5","0.479","21.3","0.608","15.0","0.682","17.5","0.795","32.5","1.48","14.5","0.661","4.52","0.205","21.2","0.963","6.31","0.287","0.518","0.024","0.032","0.418","0.0"
"NC(CCCNC(N)=N)C(O)=O","5.27","0.439","15.7","0.605","7.25","0.604","3.0","0.25","10.2","0.854","8.48","0.706","3.25","0.271","7.26","0.605","2.29","0.19","0.377","0.031","0.354","0.285","0.0"
"COC1=C(O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1","9.67","0.46","22.1","0.671","13.2","0.631","17.0","0.81","30.2","1.44","12.6","0.598","3.78","0.18","22.2","1.06","6.31","0.301","0.575","0.027","0.155","0.414","0.0"
"CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C1CC[C@@]2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)[C@@]3(C)C(=O)C[C@]12C","39.7","0.446","115.0","0.606","58.2","0.654","2.5","0.028","60.8","0.683","204.0","2.3","31.4","0.353","82.6","0.928","10.2","0.115","3.57","0.04","0.261","0.416","0.063"
"C[C@@]1(C[C@@H](O)[C@]2(O)C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12)OC(=O)\C=C\C1=CC=CC=C1","15.7","0.448","41.9","0.645","22.8","0.65","10.0","0.286","32.8","0.936","42.2","1.21","9.84","0.281","33.3","0.95","6.75","0.193","1.17","0.033","0.181","0.319","0.064"
"COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O","11.3","0.453","27.7","0.675","16.2","0.65","18.0","0.72","34.2","1.37","17.6","0.703","4.68","0.187","28.3","1.13","7.32","0.293","0.678","0.027","0.221","0.441","0.0"
"C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@]11CC[C@H](C)CN1","14.6","0.486","36.4","0.486","18.8","0.625","0.0","0.0","18.8","0.625","55.1","1.84","13.2","0.441","4.96","0.165","1.04","0.035","1.16","0.039","0.16","0.309","0.103"
"OC1C(O)C(OC2=C(O)C=CC(=C2)C2OC3=CC(O)=CC(O)=C3C(=O)C2O)OC(C1O)C(O)=O","14.8","0.436","39.8","0.736","22.5","0.662","17.5","0.515","40.0","1.18","31.8","0.936","7.7","0.226","41.3","1.22","8.29","0.244","1.27","0.037","0.225","0.539","0.0"
