Uc,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,PDI,BLTF96,BLTD48,BLTA96,score
4.7,3.86,0.162,133.0,98.8,98.8,2.0,3.99,4.34,18.9,600.0,151.0,36.0,592.0,246.0,436.0,0.986,-3.09,-3.22,-3.23,1
4.39,3.59,0.952,111.0,92.3,92.3,2.38,5.68,4.38,19.2,517.0,192.0,54.0,504.0,210.0,383.0,0.976,-3.42,-3.58,-3.61,1
4.17,3.32,0.957,92.4,56.9,56.9,2.86,8.2,2.96,8.76,376.0,76.1,52.8,396.0,166.0,282.0,1.05,-3.82,-4.04,-4.09,1
4.52,3.59,-0.338,141.0,75.0,75.0,4.14,17.2,4.96,24.6,630.0,121.0,18.0,627.0,260.0,444.0,0.995,-4.91,-5.26,-5.37,1
4.7,3.86,0.162,133.0,98.8,98.8,2.0,3.99,4.34,18.9,600.0,151.0,36.0,592.0,246.0,436.0,0.986,-3.09,-3.22,-3.23,1
3.91,3.17,0.331,75.6,79.9,79.9,1.5,2.26,2.32,5.36,355.0,133.0,85.4,330.0,139.0,249.0,0.93,-2.67,-2.75,-2.73,1
3.0,2.32,2.38,46.9,98.0,98.0,0.187,0.035,0.71,0.504,302.0,196.0,171.0,231.0,98.0,174.0,0.765,-1.55,-1.5,-1.42,1
2.81,2.0,2.92,67.0,120.0,120.0,-1.17,1.37,-0.946,0.895,435.0,235.0,213.0,333.0,140.0,251.0,0.765,-0.39,-0.21,-0.06,1
2.0,2.0,0.451,59.8,70.7,70.7,1.28,1.64,1.32,1.73,334.0,122.0,85.4,280.0,118.0,219.0,0.841,-2.48,-2.54,-2.51,1
2.0,2.0,0.29600000000000004,90.2,129.0,129.0,1.22,1.49,0.086,0.006999999999999999,526.0,205.0,85.4,444.0,185.0,352.0,0.8440000000000001,-2.43,-2.48,-2.45,1
3.91,3.17,6.85,174.0,304.0,304.0,-3.17,10.1,-1.03,1.05,1080.0,572.0,470.0,852.0,352.0,659.0,0.792,1.3,1.69,1.94,1
3.0,2.46,0.022,44.4,72.7,72.7,0.403,0.162,-0.306,0.094,212.0,73.3,16.8,203.0,86.6,145.0,0.958,-1.73,-1.7,-1.63,1
3.17,2.59,2.37,110.0,172.0,172.0,-0.299,0.09,-1.33,1.77,662.0,308.0,213.0,538.0,224.0,417.0,0.812,-1.14,-1.04,-0.93,1
4.39,4.0,2.85,169.0,172.0,172.0,2.4,5.76,5.01,25.1,779.0,222.0,155.0,743.0,308.0,568.0,0.953,-3.43,-3.6,-3.63,1
4.52,3.81,3.71,148.0,217.0,217.0,-0.416,0.173,1.92,3.7,773.0,393.0,299.0,664.0,275.0,513.0,0.8590000000000001,-1.04,-0.92,-0.81,1
1.59,1.59,2.02,169.0,120.0,120.0,3.54,12.5,5.01,25.1,999.0,235.0,213.0,824.0,341.0,626.0,0.825,-4.4,-4.68,-4.77,1
4.17,3.25,-0.79,92.8,40.8,40.8,2.46,6.04,3.45,11.9,383.0,44.0,0.0,398.0,166.0,286.0,1.04,-3.48,-3.65,-3.69,1
0.0,0.0,-0.413,66.2,20.2,20.2,3.87,14.9,3.43,11.7,385.0,42.7,42.7,325.0,136.0,240.0,0.8440000000000001,-4.68,-4.99,-5.1,1
3.7,2.81,1.93,71.2,90.2,90.2,1.02,1.04,2.19,4.79,370.0,182.0,171.0,321.0,135.0,237.0,0.866,-2.26,-2.29,-2.25,1
3.32,2.81,-0.358,106.0,67.9,67.9,2.29,5.26,1.92,3.67,524.0,93.4,18.0,490.0,204.0,370.0,0.935,-3.34,-3.5,-3.52,1
1.0,1.0,4.54,78.4,169.0,169.0,-2.53,6.39,-4.09,16.7,565.0,332.0,299.0,405.0,170.0,316.0,0.7170000000000001,0.76,1.08,1.3,1
4.0,3.32,1.6,112.0,111.0,111.0,2.76,7.64,5.61,31.5,555.0,207.0,171.0,496.0,207.0,377.0,0.894,-3.74,-3.95,-3.99,1
3.32,2.81,-0.851,86.4,43.4,43.4,3.31,10.9,3.43,11.8,386.0,61.3,0.0,377.0,158.0,287.0,0.977,-4.2,-4.46,-4.54,1
1.59,1.59,0.042,133.0,57.5,57.5,5.97,35.6,6.52,42.5,750.0,111.0,85.4,645.0,268.0,487.0,0.86,-6.46,-6.99,-7.2,1
3.91,3.17,-0.7170000000000001,106.0,85.6,85.6,0.387,0.15,3.04,9.23,518.0,102.0,0.0,476.0,199.0,362.0,0.92,-1.72,-1.69,-1.62,1
1.59,1.59,-0.4320000000000001,84.7,37.3,37.3,3.7,13.7,3.2,10.2,441.0,67.8,42.7,396.0,166.0,300.0,0.897,-4.53,-4.83,-4.93,1
3.0,2.32,-0.065,36.4,41.2,41.2,0.472,0.223,0.386,0.149,202.0,67.8,42.7,175.0,75.1,126.0,0.867,-1.79,-1.77,-1.7,1
3.32,3.32,8.96,233.0,391.0,391.0,-4.74,22.5,-2.72,7.41,1490.0,736.0,598.0,1150.0,473.0,908.0,0.768,2.64,3.18,3.51,1
2.0,2.0,3.46,89.8,175.0,175.0,-2.15,4.63,-3.16,9.99,590.0,325.0,256.0,448.0,187.0,354.0,0.759,0.44,0.72,0.92,1
1.59,1.59,4.17,201.0,199.0,199.0,1.32,1.75,3.26,10.6,1230.0,385.0,341.0,996.0,411.0,761.0,0.8079999999999999,-2.51,-2.58,-2.55,1
2.0,2.0,1.63,109.0,132.0,132.0,4.05,16.4,5.91,34.9,722.0,246.0,171.0,580.0,241.0,443.0,0.8029999999999999,-4.83,-5.16,-5.28,1
3.91,3.17,1.07,77.3,100.0,100.0,0.731,0.534,2.05,4.2,376.0,175.0,128.0,340.0,143.0,258.0,0.903,-2.01,-2.01,-1.96,1
4.0,3.32,3.26,105.0,187.0,187.0,-0.545,0.297,0.639,0.408,575.0,339.0,256.0,480.0,200.0,374.0,0.835,-0.93,-0.8,-0.68,1
4.0,3.32,2.41,107.0,162.0,162.0,1.11,1.24,1.33,1.77,566.0,300.0,213.0,484.0,202.0,373.0,0.855,-2.34,-2.38,-2.34,1
3.7,3.32,-0.28800000000000003,106.0,110.0,110.0,2.77,7.66,2.96,8.75,538.0,141.0,18.0,485.0,202.0,373.0,0.9,-3.74,-3.95,-4.0,1
3.91,3.17,1.15,66.2,94.8,94.8,1.51,2.27,2.01,4.03,308.0,178.0,128.0,283.0,119.0,215.0,0.921,-2.67,-2.75,-2.74,1
2.0,2.0,-0.865,67.3,26.3,26.3,3.45,11.9,3.31,11.0,338.0,36.1,0.0,313.0,132.0,241.0,0.926,-4.32,-4.6,-4.68,1
