"SMILES","Uc","Ui","Hy","AMR","TPSA(NO)","TPSA(Tot)","MLOGP","MLOGP2","ALOGP","ALOGP2","SAtot","SAacc","SAdon","Vx","VvdwMG","VvdwZAZ","PDI","BLTF96","BLTD48","BLTA96"
"C[C@H]1CCC([C@H](CCC(N)=O)[C@@]1(C)COC1=CC=C2C=CC(=O)OC2=C1)=C(C)C","3.46","3.0","0.16","114.0","82.5","82.5","3.68","13.5","4.76","22.7","576.0","105.0","32.9","531.0","221.0","403.0","0.922","-4.52","-4.81","-4.91"
"OC(=O)[C@@H](CC1=CC(O)=C(O)C=C1)OC(=O)\C=C\C1=CC(O)=C(O)C=C1","4.0","3.32","2.6","90.0","145.0","145.0","1.25","1.57","2.69","7.22","497.0","275.0","213.0","417.0","174.0","320.0","0.839","-2.45","-2.51","-2.48"
"CC(C)(C)[C@]1(O)CCN2C[C@H]3C4=CC=CC=C4CCC4=C3C(=CC=C4)[C@@H]2C1","3.7","2.81","-0.492","112.0","23.5","23.5","4.64","21.6","4.71","22.2","522.0","45.8","42.7","496.0","207.0","361.0","0.951","-5.34","-5.73","-5.87"
"CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)/[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C/C=C4CO[C@@H]5[C@H](OC)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C=C[C@@H]1C","2.81","2.81","0.021","236.0","159.0","159.0","1.9","3.63","5.1","26.0","1290.0","232.0","85.4","1130.0","467.0","877.0","0.881","-3.01","-3.13","-3.13"
"[Cl-].CC(C)(C[N+](C)(C)CC1=CC=CC=C1)C1OC2CCCCC2C2C=CCCC12","3.0","2.32","-0.919","118.0","9.23","9.23","1.33","1.77","4.25","18.1","605.0","11.0","0.0","556.0","231.0","409.0","0.918","-2.52","-2.59","-2.56"
"Cl.CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1","3.81","3.0","-0.371","112.0","35.6","35.6","4.06","16.5","4.39","19.3","540.0","79.3","18.0","518.0","215.0","383.0","0.958","-4.84","-5.18","-5.29"
"C[C@H]1CCC(C(CCC(=O)N2CCCCC2)[C@@]1(C)COC1=CC=C2OC(=O)C=CC2=C1)=C(C)C","3.46","3.0","-0.846","136.0","59.8","59.8","4.68","22.0","6.09","37.1","676.0","75.4","0.0","630.0","262.0","478.0","0.933","-5.37","-5.77","-5.92"
"COC1=C(OC)C(OC)=C2C(C[C@H](C)[C@H](C)CC3=CC(OC)=C(OC)C(OC)=C23)=C1","3.7","2.81","-0.792","117.0","55.4","55.4","2.7","7.27","5.27","27.7","594.0","66.0","0.0","541.0","225.0","402.0","0.912","-3.68","-3.88","-3.93"
"CN1C2=C(C=CC=C2)C2=C1C1(CCCN1CC2)C1=CC=CC=C1","4.09","3.17","-0.901","95.5","8.17","8.17","3.71","13.8","4.7","22.1","383.0","3.12","0.0","403.0","168.0","281.0","1.05","-4.54","-4.85","-4.94"
"COC1=CC=C(C=C1)C1=CC(=O)OC2=C1C=CC(OC(=O)[C@H](CC1=CNC3=CC=CC=C13)NC(=O)OC(C)(C)C)=C2C","4.76","4.0","0.102","157.0","120.0","120.0","3.79","14.4","6.69","44.8","727.0","137.0","34.8","702.0","291.0","521.0","0.965","-4.61","-4.92","-5.02"
"COC1=C2OCOC2=CC2=C1C(C#CC1(C)C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@H]4CC[C@]3(C)C1)N(C)CC2","3.32","3.0","-0.866","154.0","48.0","48.0","5.16","26.6","6.51","42.4","728.0","61.3","0.0","693.0","287.0","527.0","0.952","-5.78","-6.22","-6.39"
